Word,Cognate_Set,Language,Language_No,Word_form
BACK,10,Penn_Dutch,25-0,BUUCKEL
BACK,10,Swedish_Up,30-0,BAK
BACK,10,Danish,33-0,BAG
BACK,10,Icelandic_ST,35-0,BAK
BACK,10,Faroese,36-0,BAK
BACK,10,English,37-0,BACK
BACK,10,Sranan,38-0,BAKA
BAD,1,Swedish_Up,30-0,DALIG
BAD,1,Swedish_VL,31-0,DALI
BAD,1,Swedish_List,32-0,DALIG
BAD,1,Riksmal,34-0,DARLIG
BAD,2,Lithuanian_O,39-0,BLOGAS
BAD,2,Lithuanian_ST,40-0,BLOGAS
BAD,2,Byelorussian,49-0,BLAGI
BAD,2,Russian,51-0,PLOXOJ
BAD,2,Albanian_K,83-0,PALHO
BAD,3,German_ST,24-0,SCHLECHT
BAD,3,Penn_Dutch,25-0,SCHLECHT
BAD,3,Dutch_List,26-0,SLECHT
BAD,3,Afrikaans,27-0,SLEG
BAD,3,Flemish,28-0,SLECHT
BAD,3,Sranan,38-0,SLEKTI
BAD,3,Latvian,41-0,SLIKTS
BAD,4,Breton_List,05-0,FALL
BAD,4,Breton_List,05-1,FALS
BAD,4,Breton_SE,06-0,FALL
BAD,4,Breton_ST,07-0,FALL
BAD,5,Gujarati,59-0,KNERAB
BAD,5,Hindi,62-0,KHERAB
BAD,5,Bengali,63-0,KHARAP
BAD,5,Waziri,75-0,KHAROP
BAD,5,Baluchi,78-0,HARAB
BAD,6,Kashmiri,57-0,BAD
BAD,6,Afghan,74-0,BAD
BAD,6,Waziri,75-0,BAD
BAD,6,Persian_List,76-0,BAD
BAD,6,Tadzik,77-0,BAD
BAD,7,Lusatian_L,43-0,ZLY
BAD,7,Lusatian_U,44-0,ZLY
BAD,7,Slovak,46-0,ZLY
BAD,7,Czech_E,47-0,ZLE
BAD,7,Polish,50-0,ZLY
BAD,7,Serbocroatian,54-0,ZAO
BAD,8,Greek_ML,66-0,KAKOS
BAD,8,Greek_Mod,68-0,KAKOS
BAD,8,Greek_D,69-0,KAKOS
BAD,8,Greek_K,70-0,KAKOS
BAD,9,Ladin,11-0,MEL
BAD,9,Provencal,12-0,MARRIT
BAD,9,French,13-0,MAUVAIS
BAD,9,Walloon,14-0,MAL
BAD,9,French_Creole_C,15-0,MOVE
BAD,9,French_Creole_D,16-0,MOVE
BAD,9,Sardinian_N,17-0,MALU
BAD,9,Sardinian_L,18-0,MALU
BAD,9,Sardinian_C,19-0,MALU
BAD,9,Spanish,20-0,MAL
BAD,9,Portuguese_ST,21-0,MAO
BAD,9,Brazilian,22-0,MAU
BAD,9,Catalan,23-0,MAL
BARK,1,Welsh_N,03-0,RHISGL
BARK,1,Provencal,12-0,RUSCO
BARK,1,Welsh_C,04-0,RHISGL
BARK,1,Breton_List,05-0,RUSK
BARK,1,Breton_ST,07-0,RUSK
BARK,2,Swedish_Up,30-0,BARK
BARK,2,Swedish_VL,31-0,BARK
BARK,2,Swedish_List,32-0,BARK
BARK,2,Swedish_List,32-1,GARVARBARK
BARK,2,Danish,33-0,BARK
BARK,2,Riksmal,34-0,BARK
BARK,2,Icelandic_ST,35-0,BORKUR
BARK,2,Faroese,36-0,BORKUR
BARK,2,English,37-0,BARK
BARK,2,Nepali_List,64-0,BOKRO
BARK,2,Khaskura,65-0,BOKRA
BARK,3,Albanian_G,82-0,KUJA
BARK,3,Irish_A,01-0,COIRT
BARK,3,Irish_B,02-0,COIRT
BARK,3,Romanian_List,08-0,SCOARTA
BARK,3,Italian,10-0,SCORZA
BARK,3,Italian,10-1,CORTECCIA
BARK,3,Ladin,11-0,SCORZA
BARK,3,French,13-0,ECORCE
BARK,3,Sardinian_N,17-0,ISKORTHA
BARK,3,Sardinian_L,18-0,ISCORZA
BARK,3,Sardinian_C,19-0,KROZU
BARK,3,Spanish,20-0,CORTEZA
BARK,3,Portuguese_ST,21-0,CORTICA
BARK,3,Portuguese_ST,21-1,CASCA
BARK,3,Brazilian,22-0,CORTEX
BARK,3,Brazilian,22-1,CORTICA
BARK,3,Catalan,23-0,ESCORXZ
BARK,3,Dutch_List,26-0,SCHORS
BARK,3,Afrikaans,27-0,BOOMSKORS
BARK,3,Lusatian_L,43-0,SKORA
BARK,3,Lusatian_U,44-0,SKORA
BARK,3,Czech,45-0,KURA
BARK,3,Slovak,46-0,KORA
BARK,3,Czech_E,47-0,KURA
BARK,3,Byelorussian,49-0,KARA
BARK,3,Polish,50-0,KORA
BARK,3,Russian,51-0,KORA
BARK,3,Macedonian,52-0,KORA
BARK,3,Bulgarian,53-0,KORA
BARK,3,Serbocroatian,54-0,KORA
BARK,3,Romani,55-0,KOZA
BARK,4,Marathi,58-0,SAL
BARK,4,Gujarati,59-0,CHAL
BARK,4,Panjabi_ST,60-0,CHELL
BARK,4,Lahnda,61-0,CHAL
BARK,4,Hindi,62-0,CHAL
BARK,4,Bengali,63-0,CHAL
BARK,5,Vlach,09-0,FLUDHE
BARK,5,Greek_ML,66-0,FLOUDA
BARK,5,Greek_Mod,68-0,FLUDHA
BARK,5,Greek_D,69-0,FLOUDA
BARK,5,Greek_K,70-0,FLOIOS
BARK,5,Albanian_K,83-0,FUDHE
BARK,6,Singhalese,56-0,POTTA
BARK,6,Afghan,74-0,POST
BARK,6,Waziri,75-0,PATIKAI
BARK,6,Persian_List,76-0,PUST
BARK,6,Tadzik,77-0,PUST
BARK,6,Tadzik,77-1,TAXTAPUST
BARK,6,Wakhi,79-0,DERUXTE-PIST
BECAUSE,1,Dutch_List,26-0,OMDAT
BECAUSE,1,Afrikaans,27-0,OMDAT
BECAUSE,1,Afrikaans,27-1,DOORDAT
BECAUSE,1,Afrikaans,27-2,OOR
BECAUSE,1,Flemish,28-0,OMDAT
BECAUSE,1,Frisian,29-0,OMDET
BECAUSE,1,Frisian,29-1,TROCHDET
BECAUSE,1,Frisian,29-2,OMREDENEN
BECAUSE,2,Lithuanian_O,39-0,TODEL-KAD
BECAUSE,2,Lithuanian_O,39-1,UZTAI-KAD
BECAUSE,2,Lithuanian_ST,40-0,TODEL-KAD
BECAUSE,2,Lithuanian_ST,40-1,UZ-TAI-KAD
BECAUSE,2,Latvian,41-0,TAPEC-KA
BECAUSE,3,Breton_List,05-0,DRE-MA
BECAUSE,3,Breton_List,05-1,RAK-MA
BECAUSE,3,Breton_List,05-2,VEZA-MA
BECAUSE,3,Breton_SE,06-0,RAK-MA
BECAUSE,4,Italian,10-0,PERCHE
BECAUSE,4,Ladin,11-0,PERVI-CHA
BECAUSE,4,Provencal,12-0,PER-CO-QUE
BECAUSE,4,French,13-0,PARCE-QUE
BECAUSE,4,Walloon,14-0,PACE-QUI
BECAUSE,4,French_Creole_C,15-0,PIS
BECAUSE,4,French_Creole_D,16-0,PAS
BECAUSE,4,French_Creole_D,16-1,PIS
BECAUSE,4,Sardinian_N,17-0,PROKE
BECAUSE,4,Spanish,20-0,PORQUE
BECAUSE,4,Portuguese_ST,21-0,PORQUE
BECAUSE,4,Brazilian,22-0,PORQUE
BECAUSE,4,Catalan,23-0,PEOQUE
BECAUSE,5,Ladin,11-0,CAUSA-CHA
BECAUSE,5,French_Creole_C,15-0,A-KOZ
BECAUSE,5,French_Creole_C,15-1,BIKOZ
BECAUSE,5,English,37-0,BECAUSE
BECAUSE,5,Sranan,38-0,BIKASI
BECAUSE,5,Sranan,38-1,BIKA
BECAUSE,6,Ukrainian,48-1,TOMU-SCO
BECAUSE,6,Byelorussian,49-0,TAMU
BECAUSE,6,Byelorussian,49-1,TAGO-STO
BECAUSE,6,Russian,51-0,POTOMU-CTO
BECAUSE,7,Romani,55-0,EPIDHI
BECAUSE,7,Greek_ML,66-0,EPEIDE
BECAUSE,7,Greek_D,69-0,EPEIDE
BECAUSE,7,Greek_K,70-0,EPEIDE
BECAUSE,8,Greek_MD,67-0,GIATI
BECAUSE,8,Greek_Mod,68-0,YATI
BECAUSE,8,Greek_D,69-0,GIATI
BECAUSE,8,Greek_K,70-0,DIOTI
BECAUSE,9,Albanian_T,80-0,SE
BECAUSE,9,Albanian_T,80-1,SEPSE
BECAUSE,9,Albanian_Top,81-0,SE
BECAUSE,9,Albanian_G,82-0,SEPSE
BECAUSE,9,Albanian_K,83-0,PSE
BECAUSE,9,ALbanian_C,84-0,SE
BECAUSE,10,Lusatian_L,43-0,PSETO
BECAUSE,10,Lusatian_U,44-0,PRETOZ
BECAUSE,10,Czech,45-0,PROTOZE
BECAUSE,10,Czech_E,47-0,PROTO
BECAUSE,11,Slovenian,42-0,ZATO
BECAUSE,11,Macedonian,52-0,ZASTO
BECAUSE,11,Bulgarian,53-0,ZASCOTO
BECAUSE,11,Serbocroatian,54-0,ZATO
BECAUSE,12,Panjabi_ST,60-0,KYOKE
BECAUSE,12,Lahnda,61-0,KYUKE
BECAUSE,12,Hindi,62-0,KYOKE
BECAUSE,12,Nepali_List,64-0,KINAKI
BECAUSE,12,Khaskura,65-0,KINAKI
BELLY,1,Greek_ML,66-0,KOILIA
BELLY,1,Greek_MD,67-0,KOILIA
BELLY,1,Greek_Mod,68-0,KILYA
